Titile,Review
The Best Way To Fly The Friendly Skies is JETBLUE✈️✈️✈️,"Our party began on our flight when we boarded, had space directly overhead for our luggage, legroom to die for, as much blue chips as we could eat and a staff so friendly we felt like we were among friends. I can be a bit over the top but they absolutely delivered both on our"
Always surprised with te survice from this airlines.,"I had not been assigned a seat on this flight both going and returning.. Expected to get the most unpleasant seating, instead I got premium seating with leg room Flight attendants are pleasant. Very pleasant flight."
No Winter Blues Flying JetBlue,"Round trip, non-stop flights each way. All aspects of service, from gate agents to aircraft crew to baggage handlers, professionally executed. Both flights arrived at destinations ahead of time."
JetBlue the best Cross-Country,We always travel JetBlue to go from the west to east coast. Non-stop options are good. Service great! Lots of snacks and beverages. Media screens on seatbacks and/or audio plugs available free.
Direct flight,"The direct flight from Boston to Aruba was uneventful. Staff were attentive enough. The beverages and snacks were ok, nothing great but that applies to most airlines. The tv monitors help pass the time. There were good movies to watch - helping to pass the time. No issues with"
Quicker than Expected,"The flight was full as they usually are these days. jetBlue charges for checked luggage which tends to make for more carry-on pieces, but the overhead compartments were not overstuffed and we boarded with wheels up on time. The in-cabin service is the same except jetBlue fight"
Business Trip to Florida,I've flown on JetBlue before so I knew what to expect. The service is consistent and the flight attendants are pleasant and accommodating. Only once did I have a bad experience when a west coast flight was delayed over 2 hours. for domestic travel JetBlue is my go to airline.
Always Early - Nearly,My wife travels with her own wheelchair. From the time we stepped into the airport in San Juan until we deplaned someone was attending to our every needs. I love their free Tara Chips and diet drink. On top of all that they got us home 30 minutes early. Bada bing - Bada Boom!
Delays delays delays,"The flight got delayed five times. This never was clear , gate changes and poor explanation of the situation The airplane is hot and we've been more than an hour waiting inside for departure. Poor organizational capabilities"
Cancelled flight with little compensation,"our 9pm flight was cancelled and we were given no direction and a laughable compensation (which we still haven't received) for the inconvenience of two full days of travel, hotel, food, etc. Plane was disgusting and dirty and we all came home with the flu."
My favorite Airline...,"Always been a big fan of JetBlue... flown with them many times now. Seats are very comfortable and in-flight entertainment is very good as well. Booking directly thru the website is a breeze... and if you have difficulty, the customer service line is always there to help. "
worst experience ever,I had a small carry on bag of legal size which I couldn't check in because of very important documents I had in that bag.I have pictures of that bag so I can prove it was a legal size. And it was not a roller bag.They didn't have space for that bag so they didn't let me on that
"When they’re good they’re very good, and when they’re bad watch out!","This particular time we left right on time and arrived back earlier than expected. My daughter had a Met lue nightmare in December when they were on the plane to Orlando at the gate for 5 1/2 hours! Long story.... The extra leg room seats are great, but pricey. $90 on flights"
